"age","state","q1","q8a","q8b","q8c","q8d","q8e","q8f","q8g","q8h","q19","q20","q25","q25a","q36","q41","q44a","q44b","q44c","q44d","q44g","q44i","q45a","q46","employ","lwp","finan","home2","educ","health"
"85","GA","Not too happy","Not important","One of the most important things","One of the most important things","Not important","Not important","Not important","Very important but not the most","One of the most important things",NA,NA,NA,NA,"Very closely","Oppose","No","No","No",NA,NA,NA,"No",NA,"Not employed",NA,NA,NA,"None, or grade 1-8","Covered by health insurance"
"84","FL","Pretty happy","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most","Somewhat important","Not important","One of the most important things","One of the most important things","No",NA,"0",NA,"Fairly closely","(VOL) Don't know/Refused","Yes","No","No","No","No","No","No",NA,"Not employed",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"78","NC","Pretty happy","Not important","Very important but not the most","Somewhat important","Very important but not the most","Somewhat important","Not important","Somewhat important","One of the most important things",NA,NA,NA,NA,"Very closely","Oppose","Yes","No","(VOL) Don't know/Refused",NA,NA,"No","No",NA,"Not employed",NA,NA,NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"52","VA","Pretty happy","Not important","Not important","Somewhat important","One of the most important things","Somewhat important","Not important","Very important but not the most","Somewhat important","No",NA,"20",NA,"Very closely","Strongly oppose","Yes","No","Yes","No","Yes","No","No",NA,"Full-time",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"20","OH","Pretty happy","Very important but not the most","Very important but not the most","Somewhat important","One of the most important things","Not important","Not important","Very important but not the most","Very important but not the most","Yes","Less often",NA,NA,"Very closely","(VOL) Don't know/Refused","No","No","No","No",NA,NA,"Yes","1","Not employed",NA,"(VOL) Don't know/Refused","Rent","High school graduate (Grade 12 or GED certificate)","Not covered by health insurance"
"85","PA","Pretty happy","Somewhat important","Very important but not the most","Very important but not the most","One of the most important things","Very important but not the most","Somewhat important","Very important but not the most","Very important but not the most",NA,NA,NA,NA,"Very closely","Strongly oppose","Yes","No","No",NA,NA,NA,"No",NA,"Not employed",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"50","VA","Not too happy","Somewhat important","One of the most important things","Very important but not the most","Very important but not the most","One of the most important things","Not important","Very important but not the most","One of the most important things","Yes","Once a week","0",NA,"Fairly closely","Strongly oppose","Yes","No","No","No","Yes","Yes","No",NA,"Not employed",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"62","MA","Pretty happy","Very important but not the most","Very important but not the most","Somewhat important","Very important but not the most","Very important but not the most","Not important","Somewhat important","Somewhat important",NA,NA,NA,NA,"Very closely","Strongly oppose","Yes","No","No",NA,NA,NA,"Yes","1","Not employed",NA,NA,NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"65","FL","Pretty happy","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most","Not important","Very important but not the most","Not important","No",NA,NA,NA,"Very closely","Oppose","Yes","Yes","No","No",NA,"Yes","No",NA,"Not employed",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"54","VA","Pretty happy","Very important but not the most","(VOL) Don't know/Refused","Very important but not the most","One of the most important things","Somewhat important","Not important","Very important but not the most","Not important","No",NA,"0",NA,"Very closely","(VOL) Don't know/Refused","Yes","No","No","No","No","Yes","No",NA,"Full-time",NA,NA,NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"55","NY","Not too happy","Somewhat important","Very important but not the most","Very important but not the most","One of the most important things","Somewhat important","Not important","Very important but not the most","Very important but not the most","Yes","About once a day","4",NA,"Very closely","Favor","Yes","Yes","No","No","No","Yes","No",NA,"Full-time",NA,NA,NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"69","MI","Very happy","Not important","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most","Not important","Very important but not the most","Very important but not the most","Yes","Every few days",NA,NA,"Very closely","(VOL) Don't know/Refused","Yes","Yes","No","No",NA,"No","No",NA,"Not employed",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"76","MI","Very happy","Not important","Very important but not the most","(VOL) Don't know/Refused","One of the most important things","Very important but not the most","Not important","Somewhat important","Very important but not the most",NA,NA,NA,NA,"Very closely","Favor","No","Yes","(VOL) Don't know/Refused",NA,NA,NA,"No",NA,"Not employed",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"66","NH","Not too happy","Somewhat important","Very important but not the most","Very important but not the most","Very important but not the most","Somewhat important","Somewhat important","Very important but not the most","Somewhat important",NA,NA,NA,NA,"Very closely","Favor","No","No","No",NA,NA,NA,"No",NA,"Not employed",NA,NA,NA,"None, or grade 1-8","Covered by health insurance"
"36","MA","Not too happy","One of the most important things","One of the most important things","One of the most important things","One of the most important things","Very important but not the most","Somewhat important","Very important but not the most","Very important but not the most","Yes","Once a week","0",NA,"Very closely","Strongly oppose","Yes","No","No","No","Yes","Yes","No",NA,"Not employed",NA,"No",NA,"Post-graduate training or professional schooling after college (e.g., toward a master's Degree or Ph.D., law or medical ","Covered by health insurance"
"VOL DON'T KNOW/REFUSED","MA","Pretty happy","Somewhat important","Very important but not the most","Somewhat important","Very important but not the most","Somewhat important","Not important","Somewhat important","Somewhat important","No",NA,NA,NA,"Fairly closely","(VOL) Don't know/Refused","Yes","No","(VOL) Don't know/Refused","No",NA,"No","No",NA,"Full-time",NA,NA,NA,"Post-graduate training or professional schooling after college (e.g., toward a master's Degree or Ph.D., law or medical ","(VOL) Don't know/Refused"
